epoch,categorical_accuracy,loss,top_5_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_5_categorical_accuracy
0,0.474508,2.1023482420441026,0.7442544,0.60795456,1.518426768245455,0.84487313
1,0.5873729,1.6125170092430916,0.82872146,0.6607426,1.3068470203851292,0.8760571
2,0.64383835,1.370673274430207,0.86679435,0.69245505,1.1812391373748254,0.8962077
3,0.6814159,1.2156862243449038,0.88715166,0.71029335,1.115292560537572,0.90453225
4,0.7120757,1.0874261620447478,0.90491676,0.72231764,1.0684550136768793,0.9088927
5,0.73385286,0.9905154240082568,0.91774535,0.7348705,1.0388325141549866,0.9134514
6,0.7531535,0.9034364931319825,0.92694163,0.7400238,1.0285377677600933,0.9164905
7,0.77159554,0.8328423344495353,0.9367818,0.74583775,1.0037944310878346,0.92164373
8,0.7883701,0.7681093122177844,0.9438813,0.7481501,1.0219115887081396,0.9205867
9,0.804055,0.7078235656467836,0.9497094,0.7544926,1.0218218087078905,0.9227008
10,0.8159259,0.6543342258440206,0.9568914,0.7502643,1.037521026162214,0.9210492
11,0.8263935,0.6109831719988326,0.96210873,0.7583245,1.0307026955497944,0.9213134
12,0.8365804,0.567148107858681,0.9659721,0.7583245,1.0355842176501897,0.9217759
13,0.84973913,0.5229369090150896,0.96993464,0.7583906,1.059909452280585,0.92369187
14,0.85852265,0.48607470641723793,0.973699,0.7562104,1.0889727143102166,0.921908
