epoch,categorical_accuracy,loss,top_2_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_2_categorical_accuracy
0,0.185,2.2601189821958543,0.317,0.34133333,2.007298376560211,0.48266667
1,0.29733333,2.0294845420122147,0.459,0.42533332,1.7675147891044616,0.574
2,0.36983332,1.887019162774086,0.54,0.42133334,1.7029731035232545,0.5746667
3,0.43083334,1.7442513394355774,0.611,0.464,1.5606520223617553,0.61866665
4,0.46033335,1.6553059977293014,0.636,0.482,1.4822312831878661,0.65533334
5,0.48616666,1.5740545922517777,0.6598333,0.472,1.5153605461120605,0.66333336
6,0.5068333,1.499555481672287,0.68483335,0.48,1.5059272527694703,0.674
7,0.53316665,1.453110282421112,0.6928333,0.512,1.4320189452171326,0.70533335
8,0.53566664,1.4058235678076745,0.713,0.526,1.4262088632583618,0.71133333
9,0.5426667,1.3802273598313333,0.71383333,0.53,1.3708885073661805,0.728
10,0.55016667,1.3510699963569641,0.72616667,0.52533334,1.4175132286548615,0.72933334
11,0.553,1.3206536987423896,0.72966665,0.53533334,1.4307876479625703,0.73466665
12,0.5786667,1.27765206605196,0.73966664,0.54333335,1.387083135843277,0.73866665
13,0.57783335,1.2618258535861968,0.746,0.542,1.3985991299152374,0.7406667
14,0.5848333,1.2497738555073739,0.75383335,0.5506667,1.3616816198825836,0.762
15,0.58166665,1.2356087332963943,0.75266665,0.56266665,1.3374736285209656,0.76
16,0.5873333,1.2189541509747506,0.7618333,0.55466664,1.3791415119171142,0.7553333
17,0.59783334,1.197924595475197,0.76666665,0.578,1.3144689905643463,0.76933336
18,0.59966666,1.1882346504926682,0.768,0.57,1.3500267362594605,0.7586667
19,0.6035,1.1734337204694747,0.76766664,0.5566667,1.4254936408996581,0.7586667
