epoch,categorical_accuracy,loss,top_2_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_2_categorical_accuracy
0,0.6023333,1.1714429613947868,0.76916665,0.5786667,1.321644859313965,0.7686667
1,0.6048333,1.1713071224093436,0.7646667,0.5793333,1.3495566153526306,0.774
2,0.6163333,1.1497494187951087,0.7733333,0.5913333,1.3073256301879883,0.77666664
3,0.612,1.1409107214212417,0.7848333,0.59066665,1.3291482257843017,0.77533334
4,0.6245,1.1202060452103615,0.78966665,0.57733333,1.4135772728919982,0.77
5,0.618,1.1241510391235352,0.7863333,0.5793333,1.3604896569252014,0.77133334
6,0.6228333,1.1042643091082573,0.78283334,0.588,1.3334554409980774,0.776
7,0.62516665,1.1005792793631555,0.788,0.5913333,1.3569776022434235,0.78066665
8,0.62883335,1.0966504299640656,0.79433334,0.61266667,1.230261733531952,0.7873333
9,0.62866664,1.0957641634345054,0.7895,0.6,1.300041744709015,0.78466666
10,0.6281667,1.090396544635296,0.796,0.58933336,1.346075189113617,0.77933335
11,0.62666667,1.0894116106629372,0.79616666,0.59466666,1.317200483083725,0.7813333
12,0.63533336,1.0746476769447326,0.7956667,0.60933334,1.2662790822982788,0.79066664
13,0.6475,1.0513655185699462,0.8,0.606,1.3054820591211318,0.78866667
14,0.63766664,1.066662158370018,0.8016667,0.608,1.2954345262050628,0.79066664
15,0.6393333,1.0596704775094985,0.8003333,0.596,1.3935778880119323,0.78866667
16,0.64683336,1.030146509706974,0.80733335,0.6206667,1.2678786444664,0.79933333
17,0.65183336,1.0510327669978141,0.80233335,0.61866665,1.2633031225204467,0.7953333
18,0.648,1.0589533549547197,0.80583334,0.62266666,1.2750614416599273,0.80266666
19,0.6408333,1.0563167122006416,0.79583335,0.61866665,1.2747439706325532,0.796
