epoch,categorical_accuracy,loss,top_2_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_2_categorical_accuracy
0,0.22133334,2.172517716884613,0.369,0.40266666,1.8360404109954833,0.588
1,0.33416668,1.8890417176485061,0.50516665,0.47533333,1.5986817836761475,0.656
2,0.39716667,1.7320164519548416,0.58016664,0.49466667,1.515328803062439,0.67333335
3,0.43716666,1.634458093047142,0.6163333,0.5513333,1.3960247611999512,0.7186667
4,0.45,1.5716300648450852,0.6383333,0.554,1.3395253396034241,0.72466666
5,0.48366666,1.5026415413618088,0.66216666,0.57733333,1.2785225117206573,0.74333334
6,0.49383333,1.4649786901474,0.6831667,0.58,1.2573001599311828,0.742
7,0.5121667,1.4079066342115403,0.696,0.5826667,1.222413798570633,0.75266665
8,0.5096667,1.401116171181202,0.7025,0.6,1.1960948169231416,0.76
9,0.53333336,1.3652171257138253,0.714,0.6066667,1.1779025495052338,0.77133334
10,0.5336667,1.339795789718628,0.7226667,0.61866665,1.1551918530464171,0.7733333
11,0.551,1.2979384472966193,0.73066664,0.60333335,1.1592829704284668,0.7646667
12,0.559,1.2975054648518562,0.7331667,0.61266667,1.1328447997570037,0.77933335
13,0.56233335,1.2704044458270074,0.7503333,0.634,1.1054703712463378,0.786
14,0.57166666,1.2565121513605118,0.7413333,0.62266666,1.108216360807419,0.8006667
15,0.57883334,1.2333559036254882,0.75083333,0.63733333,1.0859663927555083,0.798
16,0.5833333,1.2274808621406554,0.74233335,0.64266664,1.0664289391040802,0.8013333
17,0.58283335,1.2163368946313857,0.754,0.6433333,1.0522760593891143,0.804
18,0.597,1.1989162048697473,0.767,0.63533336,1.0678124833106994,0.7966667
19,0.5951667,1.1728042963147163,0.773,0.63133335,1.0639238822460175,0.79933333
