epoch,categorical_accuracy,loss,top_2_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_2_categorical_accuracy
0,0.5923333,1.2087489825487137,0.7586667,0.652,1.0183359587192535,0.8053333
1,0.64066666,1.062612641453743,0.8015,0.7133333,0.8560571849346161,0.85733336
2,0.666,0.994674156755209,0.818,0.72466666,0.8367743843793869,0.8613333
3,0.68266666,0.9261423067748547,0.8348333,0.72333336,0.8329694586992263,0.85933334
4,0.7035,0.8741171205043793,0.8515,0.7313333,0.796609759926796,0.868
5,0.7186667,0.8155266903340816,0.8591667,0.7353333,0.8091103166341782,0.8653333
6,0.7345,0.7706876005232334,0.8765,0.7366667,0.84358935713768,0.8566667
7,0.74766666,0.7401542127132416,0.8796667,0.766,0.7159313136339187,0.89066666
8,0.763,0.7032710453867912,0.8933333,0.75,0.7651777237653732,0.876
9,0.76766664,0.6699140655249357,0.894,0.77,0.685172558426857,0.9
10,0.7815,0.6541455115377903,0.90216666,0.76266664,0.6836845821142197,0.90133333
11,0.7916667,0.6170356347411871,0.91183335,0.7773333,0.6897748386859894,0.9
12,0.7953333,0.5910956420749426,0.9148333,0.75333333,0.7401668295264244,0.89133334
13,0.808,0.5770330523699522,0.91683334,0.7726667,0.7157845491170883,0.8886667
14,0.8128333,0.5557055446505547,0.91966665,0.7873333,0.668003876209259,0.9066667
15,0.8178333,0.531516359001398,0.9285,0.7733333,0.7262794625759125,0.888
16,0.83016664,0.5079442600905896,0.932,0.7726667,0.7197074818611146,0.89933336
17,0.8335,0.4900573455169797,0.935,0.788,0.7283472707867622,0.9066667
18,0.8398333,0.4691903231292963,0.93883336,0.77666664,0.7160906207561493,0.898
19,0.844,0.45302284430712464,0.9435,0.772,0.7476185935735703,0.8973333
